File,TargetSNR_dB,STOI_Input,STOI_Baseline,STOI_Leaky,STOI_HardVAD,STOI_SoftVAD
female_16_IUS-F30202.wav,5,0.984975158953547,0.927394800789313,0.959095416512984,0.9850439559454,0.981809308002261
female_16_IUS-F30202.wav,10,0.993451147947488,0.899335620281037,0.924431529789006,0.990777218432913,0.987920627232679
female_17_IUS-F32202.wav,-5,0.972046828627364,0.978260395991756,0.971586282163456,0.969889379295946,0.969963587159524
female_17_IUS-F32202.wav,0,0.989951583112784,0.973954856415627,0.983055154266021,0.982824601535094,0.985137567355261
female_17_IUS-F32202.wav,5,0.996476784837508,0.954745695283088,0.976965344280718,0.979941092658333,0.981877738056476
female_17_IUS-F32202.wav,10,0.99875016703342,0.921888348822857,0.956272306399045,0.970994505966092,0.972625582614643
female_18_IUS-F34202.wav,-5,0.946147612074076,0.956712107775824,0.952816241766236,0.951251309120978,0.952405211949406
female_18_IUS-F34202.wav,0,0.967694181943166,0.956635211809589,0.967737798861751,0.968241810234165,0.97020364317646
female_18_IUS-F34202.wav,5,0.981365255625499,0.938007934125755,0.96785889992658,0.982775102841258,0.981508532472884
female_18_IUS-F34202.wav,10,0.991252851322058,0.918342317140515,0.953848202674376,0.989689512971409,0.987952780061546
female_19_IUS-F36202.wav,-5,0.950988624963659,0.947370887015927,0.947987375020664,0.95130250790359,0.955070998545039
female_19_IUS-F36202.wav,0,0.977836542838476,0.938146389382976,0.959063193925688,0.974283072102386,0.975719688709492
female_19_IUS-F36202.wav,5,0.990489016201696,0.913101085754967,0.946056100321886,0.982938395301594,0.982539605595643
female_19_IUS-F36202.wav,10,0.996370519751177,0.885685678189504,0.916019366821137,0.974829236633551,0.978320119496528
female_20_IUS-F38202.wav,-5,0.945621997316764,0.97179828724093,0.952244026400101,0.94939156739105,0.952416172145946
female_20_IUS-F38202.wav,0,0.969099931882239,0.961666893850529,0.966336348829717,0.96538901432435,0.968164813915499
female_20_IUS-F38202.wav,5,0.984296896163038,0.936457715400504,0.960957028488695,0.970342951454748,0.97271080462073
female_20_IUS-F38202.wav,10,0.992631987855735,0.901878647428828,0.936203644717579,0.961838937713964,0.967030555434118
female_21_IUS-F40202.wav,-5,0.932600148842503,0.919711355493768,0.933456585164027,0.934690867627566,0.939635079601704
female_21_IUS-F40202.wav,0,0.959620073686461,0.908790690359588,0.944924254527189,0.956786187321445,0.963309380083822
female_21_IUS-F40202.wav,5,0.979745504328346,0.890262035448245,0.932667336649479,0.978479476404114,0.978874857140365
female_21_IUS-F40202.wav,10,0.990647158281897,0.866023239983284,0.910015608785831,0.981837503382692,0.982619211257062
female_22_IUS-F42202.wav,-5,0.955330354626522,0.977182971458486,0.959187379381333,0.954466881466535,0.957582023070008
female_22_IUS-F42202.wav,0,0.981606936566889,0.973500674082209,0.975317722096224,0.975331765354033,0.979379137858824
female_22_IUS-F42202.wav,5,0.992157860914389,0.9558145332196,0.970098317048528,0.990905902053597,0.989745567377348
female_22_IUS-F42202.wav,10,0.996831080501997,0.923409809079703,0.950779967401721,0.99015986975568,0.989848867731145
female_23_IUS-F44202.wav,-5,0.930685118134737,0.940459204886328,0.943068664329248,0.93469929912405,0.937354112918508
female_23_IUS-F44202.wav,0,0.966287444164622,0.926048484248163,0.957395416174824,0.966103696238373,0.967407135990118
female_23_IUS-F44202.wav,5,0.986568194960277,0.899250353057172,0.943678933307833,0.976758587298769,0.977221465929448
female_23_IUS-F44202.wav,10,0.994701169540612,0.871226298088022,0.915271458829642,0.966297194121975,0.968805422359797
female_24_IUS-F46202.wav,-5,0.952429722993702,0.965220960669886,0.95810459693323,0.956349438107768,0.957740893187466
female_24_IUS-F46202.wav,0,0.975956805143147,0.961935682619953,0.97288963259891,0.974310755977317,0.977172435488636
female_24_IUS-F46202.wav,5,0.989361730185409,0.944354230982265,0.96762049650986,0.982662912576026,0.983777371140756
female_24_IUS-F46202.wav,10,0.995820338324765,0.916798898425148,0.944649848305819,0.983353823697625,0.983775355186589
female_25_IUS-F48202.wav,-5,0.952236758622617,0.980869700368223,0.96301972944406,0.956405513350507,0.958241284699484
female_25_IUS-F48202.wav,0,0.978612676463603,0.960146785164437,0.973922459572316,0.979465377904252,0.97884447135798
female_25_IUS-F48202.wav,5,0.991277570787179,0.923604525423265,0.962728962864043,0.984507818089898,0.985560975366371
female_25_IUS-F48202.wav,10,0.996730160391949,0.889990338239944,0.938085601812185,0.986026116113575,0.987223512896853
female_26_IUS-F50202.wav,-5,0.944537629085951,0.96799804280116,0.950654367432826,0.948753051170685,0.948399678722667
female_26_IUS-F50202.wav,0,0.969178273311083,0.967520447769244,0.96692157780946,0.970518750125684,0.971659378078191
female_26_IUS-F50202.wav,5,0.98582031105801,0.953029010767533,0.964135713985769,0.984355321231251,0.981851883565675
female_26_IUS-F50202.wav,10,0.99415707394574,0.933166665294348,0.949916321527514,0.989537028660894,0.983181347311189
female_27_IUS-F52202.wav,-5,0.952813306966174,0.97988743377841,0.960195321398946,0.959437568159135,0.958308177676237
female_27_IUS-F52202.wav,0,0.971870317005289,0.970481938100134,0.973676613683006,0.969942854171163,0.975195568819801
female_27_IUS-F52202.wav,5,0.986833056401147,0.94274449924173,0.967384021778906,0.980598467079053,0.983091582370313
female_27_IUS-F52202.wav,10,0.994910448401283,0.905236539363051,0.941063434331685,0.989210296806567,0.985164131324615
